Name,key_mlbam,PA,wOBA,xwOBA,sxwOBA,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
CJ Abrams,682928,302,0.267,0.284,0.27,-0.014,-5.04,1.7,16.6,2,6.8,5.0,0,2022
Riley Greene,682985,418,0.303,0.318,0.309,-0.008,-2.66,8.6,28.7,5,2.8,24.0,0,2022
Corbin Carroll,682998,115,0.358,0.347,0.334,-0.012,-3.59,7.0,27.0,4,9.1,4.0,0,2022
Gunnar Henderson,683002,132,0.343,0.347,0.357,0.01,2.79,12.1,25.8,4,2.0,8.0,0,2022
Brett Baty,683146,42,0.26,0.297,0.313,0.017,5.58,4.8,19.0,2,10.0,2.0,0,2022
Andrew Vaughn,683734,555,0.327,0.337,0.337,-0.001,-0.23,5.6,17.3,17,7.5,33.0,13,2022
Vinnie Pasquantino,686469,298,0.365,0.369,0.379,0.009,2.57,11.7,11.4,10,12.1,20.0,0,2022
Michael Massey,686681,194,0.302,0.349,0.338,-0.012,-3.35,4.6,23.7,4,16.4,17.0,0,2022
Will Brennan,686823,45,0.385,0.361,0.349,-0.012,-3.45,4.4,8.9,1,5.4,2.0,0,2022
Vaughn Grissom,687093,156,0.345,0.321,0.337,0.016,4.98,7.1,21.8,5,9.0,8.0,4,2022
