,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
195,Dominic Smith,152,0.254,0.291,0.276,-0.014,-4.88,7.9,24.3,0,10.9,7.0,0
196,Rowdy Tellez,599,0.327,0.343,0.333,-0.01,-2.94,10.4,20.2,35,15.3,53.0,0
197,Matt Thaiss,81,0.286,0.278,0.285,0.008,2.76,13.6,29.6,2,7.5,3.0,0
198,Tyler Wade,163,0.247,0.277,0.284,0.007,2.42,6.1,20.2,1,11.5,2.0,0
199,Eli White,117,0.26,0.279,0.269,-0.01,-3.45,9.4,35.0,3,21.5,3.0,0
200,Francisco Mejia,299,0.279,0.282,0.281,-0.001,-0.4,2.3,21.7,6,15.7,6.0,0
201,Jose Siri,325,0.268,0.277,0.284,0.006,2.28,6.2,33.2,7,15.4,12.0,6
202,Amed Rosario,670,0.311,0.324,0.323,-0.001,-0.42,3.7,16.6,11,5.0,24.0,7
203,Willy Adames,617,0.325,0.334,0.334,0.0,0.12,7.9,26.9,31,18.9,52.0,24
204,Thairo Estrada,541,0.317,0.319,0.329,0.01,3.21,6.1,16.5,14,8.1,18.0,10
205,Austin Wynns,177,0.298,0.275,0.272,-0.003,-0.98,5.6,21.5,3,10.4,5.0,3
206,Andrew Benintendi,521,0.342,0.339,0.336,-0.003,-0.82,10.0,14.8,5,12.6,20.0,0
207,Garrett Cooper,469,0.33,0.343,0.346,0.003,0.83,8.5,25.4,9,8.8,32.0,10
208,Mauricio Dubon,265,0.248,0.278,0.267,-0.012,-4.14,4.9,11.3,5,16.7,5.0,1
209,Danny Jansen,248,0.364,0.381,0.381,-0.001,-0.17,10.1,17.7,15,22.2,23.0,12
210,Tony Kemp,558,0.287,0.284,0.276,-0.008,-2.75,8.1,12.4,7,15.0,7.0,0
211,Isiah Kiner-Falefa,531,0.285,0.309,0.312,0.003,1.03,6.6,13.6,4,4.3,5.0,4
212,Jeff McNeil,589,0.365,0.335,0.346,0.011,3.17,6.8,10.4,9,12.8,13.0,0
213,Yu Chang,190,0.273,0.301,0.294,-0.007,-2.43,8.4,31.1,4,14.3,10.0,4
214,Ozzie Albies,269,0.305,0.295,0.301,0.005,1.82,5.9,17.5,8,16.9,11.0,4
215,Victor Robles,407,0.26,0.254,0.262,0.008,3.02,4.2,25.6,6,15.8,9.0,6
216,Jose Herrera,124,0.213,0.204,0.19,-0.014,-7.0,7.3,27.4,0,3.0,0.0,0
217,Rafael Devers,614,0.373,0.357,0.367,0.01,2.71,8.1,18.6,27,11.3,51.0,0
218,Josh Naylor,498,0.331,0.338,0.337,-0.001,-0.44,7.6,16.1,20,10.3,32.0,0
219,Aledmys Diaz,327,0.301,0.321,0.313,-0.008,-2.54,5.5,16.2,12,12.4,16.0,9
220,Luis Urias,472,0.327,0.332,0.332,0.001,0.22,10.6,21.0,16,18.0,26.0,10
221,Luis Arraez,603,0.35,0.353,0.347,-0.005,-1.54,8.3,7.1,8,12.9,18.0,0
222,Eloy Jimenez,327,0.37,0.376,0.393,0.016,4.39,8.6,22.0,16,7.4,33.0,8
223,Gleyber Torres,572,0.328,0.334,0.329,-0.005,-1.49,6.8,22.6,24,17.5,43.0,14
224,Willi Castro,392,0.285,0.299,0.299,0.001,0.23,3.8,20.9,8,13.7,10.0,1
225,Yandy Diaz,558,0.366,0.381,0.381,0.0,0.12,14.0,10.8,9,7.7,20.0,8
226,Bryan De La Cruz,355,0.313,0.362,0.342,-0.02,-5.62,5.4,25.4,13,9.8,29.0,7
227,Meibrys Viloria,75,0.256,0.253,0.233,-0.02,-8.05,14.7,38.7,2,5.6,3.0,0
228,Luis Rengifo,511,0.314,0.306,0.313,0.007,2.21,3.3,15.5,17,9.9,22.0,9
229,Riley Adams,155,0.249,0.284,0.277,-0.007,-2.48,7.7,29.7,5,13.5,9.0,4
230,Matt Chapman,621,0.331,0.344,0.341,-0.003,-0.79,11.0,27.4,27,19.0,48.0,18
231,Michael Chavis,426,0.282,0.276,0.27,-0.006,-2.18,4.5,29.6,14,11.1,21.0,11
232,Stuart Fairchild,110,0.35,0.339,0.327,-0.012,-3.67,7.3,30.9,5,13.3,6.0,2
233,Stone Garrett,84,0.36,0.29,0.318,0.028,9.74,3.6,32.1,4,22.8,5.0,2
234,Sam Hilliard,200,0.251,0.291,0.29,-0.001,-0.35,11.5,28.5,2,13.4,11.0,0
235,Connor Joe,467,0.314,0.324,0.314,-0.01,-3.23,11.8,20.8,7,10.6,14.0,7
236,Jordan Luplow,234,0.281,0.299,0.301,0.002,0.77,10.7,25.6,11,17.7,11.0,8
237,Zach McKinstry,185,0.28,0.307,0.298,-0.009,-3.02,8.6,28.1,5,12.9,5.0,0
238,Cedric Mullins II,672,0.315,0.314,0.313,-0.001,-0.23,7.0,18.8,16,17.4,24.0,0
239,Ryan O'Hearn,145,0.272,0.316,0.312,-0.004,-1.23,5.5,24.1,1,13.4,7.0,0
240,Kyle Schwarber,669,0.355,0.365,0.352,-0.013,-3.56,12.9,29.9,46,19.2,76.0,0
241,Pavin Smith,277,0.294,0.295,0.286,-0.009,-3.02,10.1,24.2,9,15.2,18.0,0
242,Lane Thomas,548,0.308,0.314,0.307,-0.007,-2.1,7.5,24.1,17,12.5,24.0,14
243,Alex Verdugo,644,0.319,0.328,0.327,-0.002,-0.5,6.5,13.4,11,8.4,31.0,0
244,Connor Wong,56,0.263,0.297,0.284,-0.014,-4.55,8.9,28.6,1,5.1,4.0,0
245,Ramon Laureano,383,0.294,0.315,0.319,0.005,1.55,6.5,27.2,13,14.9,28.0,11
246,Gavin Sheets,410,0.308,0.274,0.303,0.029,10.71,6.6,21.0,15,14.8,19.0,0
247,Edward Olivares,174,0.326,0.327,0.352,0.026,7.88,5.7,20.7,4,6.6,8.0,4
248,Yoan Moncada,433,0.275,0.297,0.278,-0.019,-6.35,7.4,26.3,12,15.7,28.0,0
249,Shohei Ohtani,666,0.37,0.394,0.386,-0.008,-2.05,10.8,24.2,34,12.1,72.0,0
250,Vidal Brujan,162,0.22,0.248,0.24,-0.008,-3.15,7.4,22.8,3,14.2,3.0,1
251,Ronald Acuna Jr.,533,0.335,0.344,0.342,-0.002,-0.59,9.9,23.6,15,10.8,44.0,16
252,Keibert Ruiz,433,0.299,0.319,0.32,0.001,0.45,6.9,11.5,7,14.9,13.0,0
253,Elehuris Montero,185,0.303,0.266,0.281,0.015,5.65,4.3,32.4,6,13.2,10.0,5
254,Oscar Gonzalez,382,0.339,0.339,0.338,-0.001,-0.29,3.9,19.6,11,5.4,21.0,9
